Country,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,dystopia_residual,continent,Year,social_support,cpi_score
Dominican Republic,5.230000019,1.079373837,1.402416706,0.574873745,0.552589834,0.18696785,0.113945253,1.31946516,South America,2015,0.0,33
Greece,5.227000237,1.289487481,1.239414573,0.810198903,0.095731251,0.0,0.043289777,1.749221563,Europe,2015,0.0,46
Lebanon,5.224999905,1.074987531,1.129624248,0.735081077,0.288515985,0.264450759,0.03751383,1.695073843,Asia,2015,0.0,28
Portugal,5.195000172,1.315175295,1.367043018,0.795843542,0.4984653,0.095102713,0.015869452,1.107682705,Europe,2015,0.0,64
Bosnia and Herzegovina,5.18200016,0.982409418,1.069335938,0.705186307,0.204403177,0.328867495,0.0,1.892172575,Europe,2015,0.0,38
Honduras,5.181000233,0.730573118,1.143944979,0.58256948,0.34807986,0.236188874,0.073345453,2.065811157,South America,2015,0.0,31
Nigeria,5.073999882,0.783756256,1.215770483,0.05691573,0.394952565,0.230947196,0.026121566,2.365390539,Africa,2015,0.0,26
Vietnam,5.073999882,0.788547575,1.277491331,0.652168989,0.571055591,0.234968051,0.087633237,1.462318659,Asia,2015,0.0,31
Tajikistan,5.040999889,0.524713635,1.271463275,0.529235125,0.471566707,0.248997644,0.146377146,1.84904933,Asia,2015,0.0,26
Kyrgyzstan,5.004000187,0.596220076,1.394238591,0.553457797,0.454943389,0.428580374,0.039439179,1.536723137,Asia,2015,0.0,28
Nepal,4.961999893,0.479820192,1.179283261,0.504130781,0.440305948,0.394096166,0.072975546,1.891241074,Asia,2015,0.0,27
Mongolia,4.954999924,1.027235866,1.493011236,0.557783484,0.394143969,0.33846423,0.032902289,1.111292362,Asia,2015,0.0,39
South Africa,4.828999996,1.054698706,1.384788632,0.18708007,0.479246736,0.13936238,0.072509497,1.510908604,Africa,2015,0.0,44
Tunisia,4.804999828,1.007265806,0.86835146,0.613212049,0.28968069,0.049693357,0.086723149,1.89025116,Africa,2015,0.0,38
Egypt,4.735000134,0.989701807,0.997471392,0.520187259,0.282110155,0.128631443,0.114381365,1.702161074,Africa,2015,0.0,36
Bulgaria,4.714000225,1.161459088,1.434379458,0.70821768,0.289231718,0.113177694,0.011051531,0.996139288,Europe,2015,0.0,41
Sierra Leone,4.709000111,0.368420929,0.984136045,0.005564754,0.318697691,0.293040901,0.071095176,2.668459892,Africa,2015,0.0,29
Cameroon,4.695000172,0.564305365,0.946018219,0.132892117,0.430388749,0.236298457,0.051306631,2.333645582,Africa,2015,0.0,27
Iran,4.691999912,1.156873107,0.711551249,0.639333189,0.249322608,0.387242913,0.048761073,1.498734951,Asia,2015,0.0,27
Albania,4.644000053,0.996192753,0.803685248,0.731159747,0.381498635,0.201312944,0.039864216,1.490441561,Europe,2015,0.0,36
Bangladesh,4.607999802,0.586682975,0.735131741,0.533241034,0.478356659,0.172255352,0.123717859,1.978736162,Asia,2015,0.0,25
Kenya,4.552999973,0.560479462,1.067950726,0.30998835,0.452763766,0.444860309,0.064641319,1.651902199,Africa,2015,0.0,25
Myanmar,4.545000076,0.36711055,1.123235941,0.397522569,0.514492035,0.838075161,0.188816205,1.115290403,Asia,2015,0.0,22
Senegal,4.534999847,0.479309022,1.179691911,0.409362853,0.377922267,0.183468893,0.115460448,1.789646149,Africa,2015,0.0,44
Zambia,4.513999939,0.636406779,1.003187299,0.257835895,0.461603492,0.249580145,0.07821355,1.826705456,Africa,2015,0.0,38
Iraq,4.497000217,1.102710485,0.978613198,0.50118047,0.288555533,0.199637264,0.107215755,1.318907261,Asia,2015,0.0,16
Gabon,4.465000153,1.198210239,1.155620217,0.356578588,0.312328577,0.043785378,0.076046787,1.322916269,Africa,2015,0.0,34
Ethiopia,4.460000038,0.339233845,0.864669204,0.353409708,0.408842742,0.31265074,0.165455714,2.015743732,Africa,2015,0.0,33
Sri Lanka,4.440000057,1.009850144,1.259976387,0.625130832,0.561213255,0.490863562,0.073653966,0.419389248,Asia,2015,0.0,37
Armenia,4.375999928,0.900596738,1.007483721,0.637524426,0.198303267,0.083488092,0.026674422,1.521499157,Asia,2015,0.0,35
India,4.315000057,0.792221248,0.754372597,0.455427617,0.469987005,0.231538489,0.092226885,1.519117117,Asia,2015,0.0,38
Mauritania,4.291999817,0.648457289,1.27203083,0.28534928,0.096098043,0.201870024,0.136957005,1.651637316,Africa,2015,0.0,31
Georgia,4.285999775,0.950612664,0.570614934,0.649546981,0.309410036,0.054008815,0.251666635,1.500137806,Asia,2015,0.0,52
Mali,4.190000057,0.476180494,1.281473398,0.169365674,0.306613743,0.183354199,0.104970247,1.668190956,Africa,2015,0.0,35
Cambodia,4.168000221,0.601765096,1.006238341,0.429783404,0.633375823,0.385922968,0.068105951,1.042941093,Asia,2015,0.0,21
Ghana,4.119999886,0.667224824,0.873664737,0.295637727,0.423026294,0.256923944,0.02533637,1.577867508,Africa,2015,0.0,47
Ukraine,4.096000195,0.894651949,1.394537568,0.575903952,0.122974776,0.270061463,0.023029471,0.814382315,Europe,2015,0.0,27
Uganda,4.080999851,0.381430715,1.129827738,0.217632607,0.443185955,0.325766057,0.057069719,1.526362658,Africa,2015,0.0,25
Burkina Faso,4.032000065,0.350227714,1.043280005,0.215844259,0.324367851,0.250864685,0.120328106,1.727212906,Africa,2015,0.0,38
Niger,4.027999878,0.161925331,0.993025005,0.268505007,0.363658696,0.228673846,0.138572946,1.873983383,Africa,2015,0.0,34
Malawi,3.970000029,0.233442038,0.512568831,0.315089583,0.466914654,0.28717047,0.072711654,2.081786156,Africa,2015,0.0,31
Chad,3.936000109,0.438012987,0.953855872,0.041134715,0.162342027,0.21611385,0.053581882,2.071238041,Africa,2015,0.0,22
Zimbabwe,3.875,0.375846535,1.083095908,0.196763754,0.336384207,0.189143494,0.095375381,1.597970247,Africa,2015,0.0,21
Afghanistan,3.79399991,0.401477218,0.581543326,0.180746779,0.10617952,0.311870933,0.06115783,2.150801182,Asia,2015,0.0,11
Botswana,3.766000032,1.122094154,1.221554995,0.341755509,0.505196333,0.099348448,0.098583199,0.377913713,Africa,2015,0.0,63
Benin,3.657000065,0.431085408,0.435299844,0.209930211,0.425962776,0.207948461,0.060929015,1.885630965,Africa,2015,0.0,37
Madagascar,3.644000053,0.305808693,0.913020372,0.375223309,0.189196765,0.20873253,0.067231975,1.584612608,Africa,2015,0.0,28
Haiti,3.602999926,0.368610263,0.640449822,0.27732113,0.030369857,0.489203781,0.09987215,1.697167635,South America,2015,0.0,17
Yemen,3.592999935,0.591683447,0.935382247,0.310080916,0.249463722,0.104125209,0.056767423,1.345600605,Asia,2015,0.0,18
Liberia,3.532999992,0.119041793,0.872117937,0.229918197,0.332881182,0.266549885,0.038948249,1.673285961,Africa,2015,0.0,37
Guinea,3.506999969,0.24454993,0.791244686,0.194129139,0.348587513,0.264815092,0.110937618,1.552311897,South America,2015,0.0,25
Togo,3.494999886,0.305444717,0.43188253,0.247105569,0.380426139,0.196896151,0.095665015,1.837229252,Africa,2015,0.0,32
Rwanda,3.470999956,0.368745893,0.945707023,0.326424807,0.581843853,0.252756029,0.455220014,0.540061235,Africa,2015,0.0,54
Tanzania,3.348999977,0.511135876,1.041989803,0.364509284,0.390017778,0.354256362,0.066035107,0.621130466,Africa,2015,0.0,30
Burundi,2.904999971,0.091622569,0.629793584,0.151610792,0.059900753,0.204435185,0.084147945,1.683024168,Africa,2015,0.0,21
Switzerland,7.587,1.39651,1.34951,0.94143,0.66557,0.29678,0.41978,2.51738,Europe,2016,0.0,86
Iceland,7.561,1.30232,1.40223,0.94784,0.62877,0.4363,0.14145,2.70201,Europe,2016,0.0,78
Denmark,7.527,1.32548,1.36058,0.87464,0.64938,0.34139,0.48357,2.49204,Europe,2016,0.0,90
Norway,7.522,1.459,1.33095,0.88521,0.66973,0.34699,0.36503,2.46531,Europe,2016,0.0,85
Canada,7.427,1.32629,1.32261,0.90563,0.63297,0.45811,0.32957,2.45176,North America,2016,0.0,82
Finland,7.406,1.29025,1.31826,0.88911,0.64169,0.23351,0.41372,2.61955,Europe,2016,0.0,89
Netherlands,7.378,1.32944,1.28017,0.89284,0.61576,0.4761,0.31814,2.4657,Europe,2016,0.0,83
Sweden,7.364,1.33171,1.28907,0.91087,0.6598,0.36262,0.43844,2.37119,Europe,2016,0.0,88
New Zealand,7.286,1.25018,1.31967,0.90837,0.63938,0.47501,0.42922,2.26425,Australia,2016,0.0,90
Australia,7.284,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637,2.26646,Australia,2016,0.0,79
Israel,7.278,1.22857,1.22393,0.91387,0.41319,0.33172,0.07785,3.08854,Asia,2016,0.0,64
Costa Rica,7.226,0.95578,1.23788,0.86027,0.63376,0.25497,0.10583,3.17728,South America,2016,0.0,58
Austria,7.2,1.33723,1.29704,0.89042,0.62433,0.33088,0.18676,2.5332,Europe,2016,0.0,75
Mexico,7.187,1.02054,0.91451,0.81444,0.48181,0.14074,0.21312,3.60214,North America,2016,0.0,30
United States,7.119,1.39451,1.24711,0.86179,0.54604,0.40105,0.1589,2.51011,North America,2016,0.0,74
Brazil,6.983,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521,3.26001,South America,2016,0.0,40
Luxembourg,6.946,1.56391,1.21963,0.91894,0.61583,0.28034,0.37798,1.96961,Europe,2016,0.0,81
Ireland,6.94,1.33596,1.36948,0.89533,0.61777,0.45901,0.28703,1.9757,Europe,2016,0.0,73
Belgium,6.937,1.30782,1.28566,0.89667,0.5845,0.2225,0.2254,2.41484,Europe,2016,0.0,77
United Arab Emirates,6.901,1.42727,1.12575,0.80925,0.64157,0.26428,0.38583,2.24743,Asia,2016,0.0,66
United Kingdom,6.867,1.26637,1.28548,0.90943,0.59625,0.51912,0.32067,1.96994,Europe,2016,0.0,81
Venezuela,6.81,1.04424,1.25596,0.72052,0.42908,0.05841,0.11069,3.19131,South America,2016,0.0,17
Singapore,6.798,1.52186,1.02,1.02525,0.54252,0.31105,0.4921,1.88501,Asia,2016,0.0,84
Panama,6.786,1.06353,1.1985,0.79661,0.5421,0.24434,0.0927,2.84848,South America,2016,0.0,38
Germany,6.75,1.32792,1.29937,0.89186,0.61477,0.28214,0.21843,2.11569,Europe,2016,0.0,81
Chile,6.67,1.10715,1.12447,0.85857,0.44132,0.33363,0.12869,2.67585,South America,2016,0.0,66
France,6.575,1.27778,1.26038,0.94579,0.55011,0.12332,0.20646,2.21126,Europe,2016,0.0,69
Argentina,6.574,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484,2.836,South America,2016,0.0,36
Uruguay,6.485,1.06166,1.2089,0.8116,0.60362,0.2324,0.24558,2.32142,South America,2016,0.0,71
Colombia,6.477,0.91861,1.24018,0.69077,0.53466,0.18401,0.0512,2.85737,South America,2016,0.0,37
Thailand,6.455,0.9669,1.26504,0.7385,0.55664,0.5763,0.03187,2.31945,Asia,2016,0.0,35
Saudi Arabia,6.411,1.39541,1.08393,0.72025,0.31048,0.13706,0.32524,2.43872,Asia,2016,0.0,46
Spain,6.329,1.23011,1.31379,0.95562,0.45951,0.18227,0.06398,2.12367,Europe,2016,0.0,58
Malta,6.302,1.2074,1.30203,0.88721,0.60365,0.51752,0.13586,1.6488,Europe,2016,0.0,55
Kuwait,6.295,1.55422,1.16594,0.72492,0.55499,0.16228,0.25609,1.87634,Asia,2016,0.0,41
El Salvador,6.13,0.76454,1.02507,0.67737,0.4035,0.10692,0.11776,3.035,South America,2016,0.0,36
Guatemala,6.123,0.74553,1.04356,0.64425,0.57733,0.27489,0.09472,2.74255,South America,2016,0.0,28
Uzbekistan,6.003,0.63244,1.34043,0.59772,0.65821,0.22837,0.30826,2.23741,Asia,2016,0.0,21
Slovakia,5.995,1.16891,1.26999,0.78902,0.31751,0.16893,0.03431,2.24639,Europe,2016,0.0,51
Japan,5.987,1.27074,1.25712,0.99111,0.49615,0.10705,0.1806,1.68435,Asia,2016,0.0,72
Ecuador,5.975,0.86402,0.99903,0.79075,0.48574,0.11541,0.1809,2.53942,South America,2016,0.0,31
Bahrain,5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306,1.73797,Asia,2016,0.0,43
Italy,5.948,1.25114,1.19777,0.95446,0.26236,0.22823,0.02901,2.02518,Europe,2016,0.0,47
Bolivia,5.89,0.68133,0.97841,0.5392,0.57414,0.20536,0.088,2.82334,South America,2016,0.0,33
Moldova,5.889,0.59448,1.01528,0.61826,0.32818,0.20951,0.01615,3.10712,Europe,2016,0.0,30
Paraguay,5.878,0.75985,1.30477,0.66098,0.53899,0.3424,0.08242,2.18896,South America,2016,0.0,30
Kazakhstan,5.855,1.12254,1.12241,0.64368,0.51649,0.11827,0.08454,2.24729,Asia,2016,0.0,29
Slovenia,5.848,1.18498,1.27385,0.87337,0.60855,0.25328,0.03787,1.61583,Europe,2016,0.0,61
Lithuania,5.833,1.14723,1.25745,0.73128,0.21342,0.02641,0.01031,2.44649,Europe,2016,0.0,59
Nicaragua,5.828,0.59325,1.14184,0.74314,0.55475,0.27815,0.19317,2.32407,South America,2016,0.0,26
Peru,5.824,0.90019,0.97459,0.73017,0.41496,0.14982,0.05989,2.5945,South America,2016,0.0,35
Belarus,5.813,1.03192,1.23289,0.73608,0.37938,0.11046,0.1909,2.1309,Europe,2016,0.0,40
Poland,5.791,1.12555,1.27948,0.77903,0.53122,0.16759,0.04212,1.86565,Europe,2016,0.0,62
Malaysia,5.77,1.12486,1.07023,0.72394,0.53024,0.33075,0.10501,1.88541,Asia,2016,0.0,49
Croatia,5.759,1.08254,0.79624,0.78805,0.25883,0.05444,0.0243,2.75414,Europe,2016,0.0,49
Libya,5.754,1.13145,1.11862,0.7038,0.41668,0.18295,0.11023,2.09066,Africa,2016,0.0,14
Russia,5.716,1.13764,1.23617,0.66926,0.36679,0.00199,0.03005,2.27394,Europe,2016,0.0,29
Jamaica,5.709,0.81038,1.15102,0.68741,0.50442,0.2123,0.02299,2.32038,South America,2016,0.0,39
Cyprus,5.689,1.20813,0.89318,0.92356,0.40672,0.30638,0.06146,1.88931,Asia,2016,0.0,55
Algeria,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383,2.43209,Africa,2016,0.0,34
Kosovo,5.589,0.80148,0.81198,0.63132,0.24749,0.2831,0.04741,2.76579,Europe,2016,0.0,36
Turkmenistan,5.548,0.95847,1.22668,0.53886,0.4761,0.16979,0.30844,1.86984,Asia,2016,0.0,22
Mauritius,5.477,1.00761,0.98521,0.7095,0.56066,0.37744,0.07521,1.76145,Africa,2016,0.0,54
Estonia,5.429,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184,1.58782,Europe,2016,0.0,70
Indonesia,5.399,0.82827,1.08708,0.63793,0.46611,0.51535,0.0,1.86399,Asia,2016,0.0,37
Vietnam,5.36,0.63216,0.91226,0.74676,0.59444,0.1686,0.10441,2.20173,Asia,2016,0.0,33
Turkey,5.332,1.06098,0.94632,0.73172,0.22815,0.12253,0.15746,2.08528,Asia,2016,0.0,41
Kyrgyzstan,5.286,0.47428,1.15115,0.65088,0.43477,0.3003,0.04232,2.2327,Asia,2016,0.0,28
Nigeria,5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403,2.89319,Africa,2016,0.0,28
Azerbaijan,5.212,1.02389,0.93793,0.64045,0.3703,0.07799,0.16065,2.00073,Asia,2016,0.0,30
Pakistan,5.194,0.59543,0.41411,0.51466,0.12102,0.33671,0.10464,3.10709,Asia,2016,0.0,32
Jordan,5.192,0.90198,1.05392,0.69639,0.40661,0.11053,0.14293,1.87996,Asia,2016,0.0,48
Montenegro,5.192,0.97438,0.90557,0.72521,0.1826,0.1614,0.14296,2.10017,Europe,2016,0.0,45
China,5.14,0.89012,0.94675,0.81658,0.51697,0.08185,0.02781,1.8604,Asia,2016,0.0,40
Zambia,5.129,0.47038,0.91612,0.29924,0.48827,0.19591,0.12468,2.6343,Africa,2016,0.0,38
Romania,5.124,1.04345,0.88588,0.7689,0.35068,0.13748,0.00649,1.93129,Europe,2016,0.0,48
Serbia,5.123,0.92053,1.00964,0.74836,0.20107,0.19231,0.02617,2.025,Europe,2016,0.0,42
Portugal,5.102,1.15991,1.13935,0.87519,0.51469,0.13719,0.01078,1.26462,Europe,2016,0.0,62
Latvia,5.098,1.11312,1.09562,0.72437,0.29671,0.18226,0.06332,1.62215,Europe,2016,0.0,57
Philippines,5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279,1.7536,Asia,2016,0.0,35
Morocco,5.013,0.73479,0.64095,0.60954,0.41691,0.07172,0.08546,2.45373,Africa,2016,0.0,37
Albania,4.959,0.87867,0.80434,0.81325,0.35733,0.14272,0.06413,1.89894,Europe,2016,0.0,39
Bosnia and Herzegovina,4.949,0.83223,0.91916,0.79081,0.09245,0.24808,0.00227,2.06367,Europe,2016,0.0,39
Dominican Republic,4.885,0.89537,1.17202,0.66825,0.57672,0.21684,0.14234,1.21305,South America,2016,0.0,31
Mongolia,4.874,0.82819,1.3006,0.60268,0.43626,0.3323,0.02666,1.34759,Asia,2016,0.0,38
Greece,4.857,1.15406,0.92933,0.88213,0.07699,0.0,0.01397,1.80101,Europe,2016,0.0,44
Lebanon,4.839,1.02564,0.80001,0.83947,0.33916,0.21854,0.04582,1.57059,Asia,2016,0.0,28
Hungary,4.8,1.12094,1.20215,0.75905,0.32112,0.128,0.02758,1.24074,Europe,2016,0.0,48
Honduras,4.788,0.59532,0.95348,0.6951,0.40148,0.23027,0.06825,1.84408,South America,2016,0.0,30
